latitude,longitude,zipcode,age,sex,race_cat,arrest_type,arr_date2
34.0657,-118.268,90057,41,F,LatinX,Felony,2018-12-31
33.8112,-118.3039,90710,47,M,LatinX,Misdemeanor,2018-12-31
34.1366,-118.2169,90041,25,M,LatinX,Misdemeanor,2018-12-31
34.1917,-118.6447,91307,46,M,LatinX,Misdemeanor,2018-12-31
34.0485,-118.2513,90013,65,M,Black,Misdemeanor,2018-12-31
34.2454,-118.4505,91402,36,M,LatinX,Felony,2018-12-31
33.7785,-118.2623,90744,36,M,White,Misdemeanor,2018-12-31
34.1681,-118.367,91601,57,M,White,Infraction,2018-12-31
33.7823,-118.2476,90744,20,M,LatinX,Misdemeanor,2018-12-31
34.0601,-118.2761,90057,34,M,LatinX,Misdemeanor,2018-12-31
34.0998,-118.3211,90028,28,F,Other,Felony,2018-12-31
34.0349,-118.2959,90007,39,M,LatinX,Misdemeanor,2018-12-31
33.9862,-118.3111,90047,27,F,Black,Misdemeanor,2018-12-31
34.0693,-118.2687,90026,32,M,LatinX,Felony,2018-12-31
34.0982,-118.294,90027,27,M,Black,Misdemeanor,2018-12-31
34.0455,-118.2765,90015,45,M,Black,Misdemeanor,2018-12-31
34.104,-118.3297,90028,44,M,LatinX,Felony,2018-12-31
34.1827,-118.4465,91401,30,F,LatinX,Misdemeanor,2018-12-31
34.2448,-118.6134,91311,56,M,White,Misdemeanor,2018-12-31
33.988,-118.4703,90291,50,M,LatinX,Misdemeanor,2018-12-31
34.0064,-118.2937,90037,27,M,Black,Felony,2018-12-31
34.0082,-118.2716,90011,29,F,Black,Felony,2018-12-31
34.0601,-118.2761,90057,23,M,LatinX,Felony,2018-12-31
34.047,-118.4524,90025,30,M,Black,Felony,2018-12-31
34.1626,-118.4345,91423,36,M,White,Felony,2018-12-31
33.7866,-118.2717,90744,38,M,LatinX,Felony,2018-12-31
34.0145,-118.2937,90037,25,M,Black,Misdemeanor,2018-12-31
34.2244,-118.5804,91306,37,F,LatinX,Misdemeanor,2018-12-31
34.2012,-118.4487,91405,30,M,Black,Misdemeanor,2018-12-31
33.9923,-118.287,90037,58,M,Black,Misdemeanor,2018-12-31
34.084,-118.3547,90046,37,M,Other,Misdemeanor,2018-12-31
34.0601,-118.2761,90057,46,M,LatinX,Infraction,2018-12-31
34.1034,-118.3333,90028,43,M,Black,Felony,2018-12-31
34.0075,-118.2775,90037,29,M,Black,Misdemeanor,2018-12-31
33.942,-118.4095,90045,29,F,Black,Other,2018-12-31
34.0601,-118.2761,90057,37,M,LatinX,Infraction,2018-12-31
33.9858,-118.4727,90291,45,M,White,Infraction,2018-12-31
34.066,-118.2689,90057,65,M,LatinX,Infraction,2018-12-31
34.0601,-118.2761,90057,60,M,LatinX,Infraction,2018-12-31
34.0601,-118.2761,90057,62,M,LatinX,Infraction,2018-12-31
33.9465,-118.2673,90003,29,M,LatinX,Felony,2018-12-31
34.0601,-118.2761,90057,44,M,LatinX,Infraction,2018-12-31
34.0419,-118.4247,90064,41,M,LatinX,Misdemeanor,2018-12-31
34.0417,-118.2443,90021,65,M,White,Misdemeanor,2018-12-31
34.0162,-118.3482,90008,44,F,LatinX,Misdemeanor,2018-12-31
33.9367,-118.2871,90044,18,M,LatinX,Felony,2018-12-31
34.2523,-118.4576,91345,31,M,White,Misdemeanor,2018-12-31
34.1649,-118.3921,91607,52,F,LatinX,Misdemeanor,2018-12-31
34.0597,-118.3066,90005,41,M,LatinX,Felony,2018-12-31
34.1016,-118.3361,90028,34,M,White,Misdemeanor,2018-12-31
33.9332,-118.2485,90059,34,M,Black,Felony,2018-12-31
34.1564,-118.463,91403,41,M,Black,Misdemeanor,2018-12-31
34.0601,-118.2761,90057,32,F,LatinX,Misdemeanor,2018-12-31
34.0424,-118.2718,90015,33,M,Black,Misdemeanor,2018-12-31
34.0128,-118.2565,90011,24,F,LatinX,Felony,2018-12-31
34.1939,-118.5535,91335,20,M,LatinX,Felony,2018-12-31
34.068600000000004,-118.2746,90057,20,M,LatinX,Misdemeanor,2018-12-31
34.1016,-118.3288,90028,52,M,White,Felony,2018-12-31
34.002,-118.2783,90037,35,M,LatinX,Misdemeanor,2018-12-31
33.9688,-118.2856,90044,22,M,LatinX,Felony,2018-12-31
33.9964,-118.4806,90291,43,M,LatinX,Misdemeanor,2018-12-31
34.039,-118.24,90021,43,M,LatinX,Felony,2018-12-31
34.0481,-118.2542,90014,49,M,Black,Misdemeanor,2018-12-31
34.055,-118.2865,90006,36,M,LatinX,Misdemeanor,2018-12-31
34.0224,-118.3351,90016,19,M,LatinX,Felony,2018-12-31
34.0462,-118.2114,90033,28,M,LatinX,Misdemeanor,2018-12-31
34.0356,-118.3638,90016,25,F,Black,Felony,2018-12-31
33.7873,-118.2582,90744,27,M,LatinX,Misdemeanor,2018-12-31
34.0738,-118.2078,90031,27,M,LatinX,Felony,2018-12-31
34.0601,-118.2761,90057,69,M,LatinX,Infraction,2018-12-31
33.9908,-118.4765,90291,43,F,White,Infraction,2018-12-31
34.0419,-118.2485,90014,42,F,White,Misdemeanor,2018-12-31
34.0707,-118.2189,90031,36,M,LatinX,Misdemeanor,2018-12-31
33.7904,-118.275,90744,23,F,LatinX,Misdemeanor,2018-12-31
34.0601,-118.2761,90057,38,M,LatinX,Infraction,2018-12-31
34.121,-118.2271,90065,48,M,White,Misdemeanor,2018-12-31
33.9885,-118.475,90291,36,M,LatinX,Infraction,2018-12-31
34.0601,-118.2761,90057,34,M,LatinX,Infraction,2018-12-31
34.0037,-118.2959,90037,19,F,LatinX,Felony,2018-12-31
33.9791,-118.4669,90292,57,M,LatinX,Infraction,2018-12-31
34.0601,-118.2761,90057,34,M,LatinX,Infraction,2018-12-31
34.0452,-118.2534,90014,64,M,LatinX,Misdemeanor,2018-12-31
33.9875,-118.4741,90291,27,M,White,Infraction,2018-12-31
34.0601,-118.2761,90057,31,M,LatinX,Infraction,2018-12-31
33.943,-118.4035,90045,58,M,Black,Other,2018-12-31
34.1837,-118.4465,91401,29,M,LatinX,Misdemeanor,2018-12-31
33.9906,-118.4769,90291,30,M,White,Infraction,2018-12-31
34.0507,-118.2776,90006,41,M,LatinX,Misdemeanor,2018-12-31
34.0601,-118.2805,90057,37,M,LatinX,Misdemeanor,2018-12-31
33.8112,-118.3039,90710,58,M,LatinX,Misdemeanor,2018-12-31
34.0727,-118.284,90057,33,M,White,Misdemeanor,2018-12-31
34.0601,-118.2761,90057,21,M,White,Infraction,2018-12-31
33.7823,-118.2476,90744,48,M,LatinX,Misdemeanor,2018-12-31
33.7529,-118.2956,90731,53,M,White,Misdemeanor,2018-12-31
34.0454,-118.2466,90013,55,M,Black,Felony,2018-12-31
33.9708,-118.2783,90003,23,M,LatinX,Felony,2018-12-31
34.193,-118.5317,91335,18,M,White,Felony,2018-12-31
34.0073,-118.3108,90062,21,F,LatinX,Misdemeanor,2018-12-31
34.0073,-118.3108,90062,35,M,Black,Misdemeanor,2018-12-31
34.0396,-118.259,90015,21,M,LatinX,Misdemeanor,2018-12-31
34.212,-118.5754,91306,29,M,LatinX,Misdemeanor,2018-12-31
34.1695,-118.3659,91601,25,M,LatinX,Misdemeanor,2018-12-31
33.9611,-118.2827,90003,23,F,Black,Misdemeanor,2018-12-31
34.0693,-118.2687,90026,34,M,LatinX,Misdemeanor,2018-12-31
34.1967,-118.4531,91405,49,M,White,Felony,2018-12-31
34.0091,-118.2762,90037,39,F,LatinX,Felony,2018-12-31
33.9644,-118.2842,90044,34,M,Black,Felony,2018-12-31
34.0557,-118.3991,90035,33,M,LatinX,Misdemeanor,2018-12-31
34.086,-118.1737,90032,26,M,LatinX,Felony,2018-12-31
34.1837,-118.4465,91401,39,M,Black,Misdemeanor,2018-12-31
34.0814,-118.2962,90004,36,M,Other,Felony,2018-12-31
34.1566,-118.3769,91602,76,M,White,Misdemeanor,2018-12-31
34.244,-118.5583,91324,26,M,Other,Misdemeanor,2018-12-31
33.9862,-118.3111,90047,20,F,Black,Misdemeanor,2018-12-31
34.0091,-118.2762,90037,22,M,LatinX,Felony,2018-12-31
34.2389,-118.4536,91402,23,M,LatinX,Misdemeanor,2018-12-31
34.0429,-118.2119,90033,36,M,LatinX,Misdemeanor,2018-12-31
34.0436,-118.3157,90019,38,M,LatinX,Misdemeanor,2018-12-31
33.9945,-118.4522,90291,46,M,White,Felony,2018-12-31
