latitude,longitude,zipcode,age,sex,race_cat,arrest_type,arr_date2
34.0372,-118.2418,90021,52,M,LatinX,Misdemeanor,2018-08-12
33.9315,-118.2501,90059,37,M,Black,Misdemeanor,2018-08-12
34.0649,-118.3451,90036,28,M,Black,Misdemeanor,2018-08-12
34.1976,-118.4094,91605,28,M,LatinX,Misdemeanor,2018-08-12
33.9941,-118.2915,90037,23,M,LatinX,Felony,2018-08-12
34.321,-118.4883,91342,36,M,LatinX,Misdemeanor,2018-08-12
34.2355,-118.5361,91324,62,M,LatinX,Misdemeanor,2018-08-12
34.1837,-118.4465,91401,36,M,Other,Misdemeanor,2018-08-12
34.084,-118.3547,90046,28,M,Black,Misdemeanor,2018-08-12
34.1425,-118.3643,91604,53,M,White,Misdemeanor,2018-08-12
34.1427,-118.4052,91604,55,F,White,Misdemeanor,2018-08-12
34.0265,-118.4279,90034,35,M,White,Misdemeanor,2018-08-12
34.0407,-118.268,90015,18,M,LatinX,Felony,2018-08-12
33.9957,-118.4786,90291,56,M,White,Misdemeanor,2018-08-12
34.2095,-118.4287,91402,18,M,LatinX,Felony,2018-08-12
34.0472,-118.309,90006,32,M,LatinX,Misdemeanor,2018-08-12
34.0605,-118.2814,90057,56,M,LatinX,Infraction,2018-08-12
34.1869,-118.3987,91606,79,M,White,Infraction,2018-08-12
34.1,-118.3044,90027,36,M,LatinX,Misdemeanor,2018-08-12
34.0577,-118.2318,90012,30,M,Black,Misdemeanor,2018-08-12
34.0558,-118.2663,90017,33,M,LatinX,Infraction,2018-08-12
33.9642,-118.2783,90003,24,M,LatinX,Misdemeanor,2018-08-12
34.0696,-118.2612,90026,42,F,Other,Misdemeanor,2018-08-12
34.0549,-118.2778,90057,31,M,LatinX,Infraction,2018-08-12
34.0566,-118.2681,90017,48,M,LatinX,Infraction,2018-08-12
34.1938,-118.5884,91303,35,M,White,Felony,2018-08-12
34.2011,-118.5448,91335,50,M,LatinX,Misdemeanor,2018-08-12
34.0534,-118.2745,90057,57,M,LatinX,Infraction,2018-08-12
34.1827,-118.4465,91401,27,M,Other,Misdemeanor,2018-08-12
34.0605,-118.2814,90057,36,M,LatinX,Infraction,2018-08-12
34.0558,-118.2663,90017,33,M,LatinX,Infraction,2018-08-12
34.2095,-118.4287,91402,24,M,LatinX,Felony,2018-08-12
33.9551,-118.2869,90044,19,F,Black,Misdemeanor,2018-08-12
34.174,-118.4662,91411,29,M,White,Misdemeanor,2018-08-12
